path,extension,bytes,category,usage_role
LancsBox/corpora/Climate_Change/HER_2011-11-30000004.txt,.txt,1082,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-11-30000005.txt,.txt,1082,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-11-30000006.txt,.txt,1139,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-11-30000007.txt,.txt,932,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-11-30000008.txt,.txt,1428,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-12-01000001.txt,.txt,1343,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-12-01000002.txt,.txt,75,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-12-01000003.txt,.txt,2081,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-01-02001029.txt,.txt,6249,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-01-09001028.txt,.txt,1912,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-01-16001025.txt,.txt,144,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-01-16001026.txt,.txt,546,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-01-16001027.txt,.txt,5149,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-02-06001023.txt,.txt,1219,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-02-06001024.txt,.txt,188,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-03-06001022.txt,.txt,1197,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-03-13001019.txt,.txt,143,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-03-13001020.txt,.txt,851,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-03-13001021.txt,.txt,3647,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-03-20001015.txt,.txt,2699,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-03-20001016.txt,.txt,7536,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-03-20001017.txt,.txt,702,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-03-20001018.txt,.txt,1430,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-03-27001007.txt,.txt,4,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-03-27001008.txt,.txt,1948,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-03-27001009.txt,.txt,2491,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-01000993.txt,.txt,6869,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-01000994.txt,.txt,6765,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-08000988.txt,.txt,3476,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-08000989.txt,.txt,168,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-08000990.txt,.txt,5328,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-08000991.txt,.txt,352,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-15000982.txt,.txt,552,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-15000983.txt,.txt,1580,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-15000984.txt,.txt,7499,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-15000985.txt,.txt,1842,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-15000986.txt,.txt,1834,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-15000987.txt,.txt,1563,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-22000975.txt,.txt,497,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-22000976.txt,.txt,1543,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-22000977.txt,.txt,360,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-22000978.txt,.txt,8227,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-22000979.txt,.txt,1784,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-22000980.txt,.txt,312,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-22000981.txt,.txt,361,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-29000972.txt,.txt,2524,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-29000973.txt,.txt,1483,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-05-29000974.txt,.txt,103,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-06-05000969.txt,.txt,6201,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-06-05000970.txt,.txt,2624,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-06-05000971.txt,.txt,1927,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-06-12000968.txt,.txt,48,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-06-19000966.txt,.txt,4096,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-06-19000967.txt,.txt,4494,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-07-03000964.txt,.txt,8277,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-07-03000965.txt,.txt,268,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-07-10000960.txt,.txt,455,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-07-10000961.txt,.txt,8916,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-07-10000962.txt,.txt,1543,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-07-10000963.txt,.txt,1128,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-07-17000958.txt,.txt,1389,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-07-17000959.txt,.txt,2724,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-07-24000957.txt,.txt,2533,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-09-18000932.txt,.txt,1912,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-09-18000933.txt,.txt,17,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-09-18000934.txt,.txt,5128,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-09-18000935.txt,.txt,550,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-09-18000936.txt,.txt,1873,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-09-18000937.txt,.txt,1549,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-09-18000938.txt,.txt,1650,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-09-18000939.txt,.txt,1912,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HES_2011-09-18000940.txt,.txt,17,auxiliary-validation,reference-corpora
